,freq
"('먹다', '무치다')",5
"('깔끔하다', '좋다')",5
"('강하다', '좋다')",5
"('주문', '포장')",5
"('금방', '맛있다')",5
"('딱이다', '먹다')",5
"('빠르다', '자다')",5
"('맛있다', '한번')",5
"('장아찌', '최고')",5
"('넣다', '좋다')",5
"('의사', '좋다')",5
"('계속', '맛있다')",5
"('먹다', '엄마')",5
"('구매', '자다')",5
"('배송', '포장')",5
"('궁채', '반찬')",5
"('궁채', '처음')",5
"('먹다', '적당하다')",5
"('식감', '자다')",5
"('맛', '해')",5
"('가다', '먹다')",5
"('장아찌', '집')",5
"('좋다', '처음')",5
"('좋다', '하니')",5
"('자다', '집')",4
"('구매', '좋아하다')",4
"('좋아하다', '최고')",4
"('음식', '좋다')",4
"('맛', '배송')",4
"('맛', '분')",4
"('달', '좋다')",4
"('그렇다', '먹다')",4
"('적당하다', '좋다')",4
"('맛있다', '번')",4
"('궁채', '짜다')",4
"('곳', '맛있다')",4
"('반찬', '좋아하다')",4
"('도둑', '밥')",4
"('밥', '없다')",4
"('장아찌', '처음')",4
"('고기', '딱이다')",4
"('간장', '좋다')",4
"('달다', '맛있다')",4
"('좋아하다', '포장')",4
"('맛있다', '제일')",4
"('두번째', '먹다')",4
"('엄마', '좋아하다')",4
"('괜찮다', '맛있다')",4
"('맛있다', '삼겹살')",4
"('먹다', '삼겹살')",4
"('맛있다', '상태')",4
"('맛있다', '양도')",4
"('맛있다', '오다')",4
"('고기', '진짜')",4
"('엉망', '포장')",4
"('좋아하다', '집')",4
"('먹다', '아니다')",4
"('아니다', '좋다')",4
"('궁채', '배송')",4
"('맛있다', '찾다')",4
"('강하다', '맛있다')",4
"('고기', '맛')",4
"('늘다', '맛')",4
"('먹다', '번')",4
"('많다', '맛있다')",4
"('강하다', '먹다')",4
"('다시', '주문')",4
"('많다', '좋다')",4
"('먹다', '찾다')",4
"('구매', '믿다')",4
"('가격', '좋다')",4
"('다시', '먹다')",4
"('식감', '집')",4
"('의사', '주문')",4
"('맛', '진짜')",4
"('보다', '처음')",4
"('괜찮다', '맛')",4
"('괜찮다', '포장')",4
"('맛', '씹다')",4
"('좋다', '한번')",4
"('가족', '자다')",4
"('떨어지다', '주문')",4
"('맛있다', '오도독')",4
"('보다', '자다')",4
"('맛', '부모님')",4
"('부모님', '좋다')",4
"('맛있다', '씹다')",4
"('씹다', '좋다')",4
"('감사하다', '자다')",4
"('맛있다', '밑반찬')",4
"('딸', '맛있다')",4
"('주문', '찾다')",4
"('궁채', '추가')",4
"('밥', '진짜')",4
"('궁채', '시장')",4
"('궁채', '잠')",4
"('상태', '좋다')",4
"('만들다', '좋다')",4
"('먹다', '잠')",4
"('김밥', '맛있다')",4
"('맛있다', '사다')",4
"('검색', '먹다')",4
"('간이', '맛있다')",4
"('구매', '양념')",4
"('나다', '좋다')",4
"('김밥', '좋다')",4
"('고깃집', '먹다')",4
"('남다', '맛있다')",4
"('주문', '한번')",4
"('맛있다', '친정')",4
"('양념', '좋다')",4
"('주문', '통')",4
"('드리다', '주문')",4
"('궁채', '진짜')",4
"('먹다', '초석')",4
"('만들다', '맛있다')",4
"('고깃집', '맛있다')",4
"('보고', '장아찌')",4
"('맛있다', '유리')",4
"('시장', '장아찌')",4
"('궁채', '초석')",4
"('맛있다', '번창')",4
"('보내다', '주문')",4
"('구매', '장아찌')",4
"('드리다', '보내다')",4
"('오다', '자다')",4
"('궁', '맛있다')",4
"('맛', '없다')",4
"('맛있다', '채다')",4
"('만족스럽다', '좋다')",4
"('먹다', '의사')",4
"('굿굿', '좋다')",4
"('맛있다', '역시')",4
"('궁', '채다')",4
"('밥', '자다')",4
"('식감', '처음')",4
"('식감', '진짜')",4
"('반찬', '어울리다')",4
"('맛', '밥')",4
"('맛', '콤달콤')",4
"('대신', '맛있다')",3
"('만들다', '보내다')",3
"('배송', '장아찌')",3
"('맵다', '보다')",3
"('단무지', '대신')",3
"('장아찌', '적당하다')",3
"('잇다', '좋다')",3
"('간도', '먹다')",3
"('만들다', '장아찌')",3
"('상태', '주문')",3
"('밥', '장아찌')",3
"('만들다', '주문')",3
"('간도', '좋다')",3
"('궁채', '통')",3
"('믿다', '좋아하다')",3
"('맛있다', '생각나다')",3
"('구매', '어울리다')",3
"('금방', '주문')",3
"('개', '집')",3
"('궁채', '보고')",3
"('개', '주문')",3
"('맛', '아니다')",3
"('짜다', '최고')",3
"('리뷰', '먹다')",3
"('맛', '집')",3
"('고기', '깔끔하다')",3
"('맛있다', '신맛')",3
"('늘다', '맛있다')",3
"('늘다', '봣')",3
"('담그다', '좋다')",3
"('강하다', '신맛')",3
"('궁채', '늘다')",3
