word,freq
기사,1
분과,1
의전,1
친절하다,1
대응,1
파란,1
장,1
감,1
모이,1
듭니,1
버려지다,1
자체,1
오도,1
똑,1
소고기,1
씰링,1
뜯다,1
쉬다,1
변하다,1
수가,1
빙초산,1
물량,1
문득,1
소화도,1
연락,1
궁금하다,1
도대체,1
가보다,1
적,1
워낙,1
겨울방학,1
횟수,1
늘어나다,1
질리,1
좀더,1
겠다,1
세번,1
셔,1
고생,1
안드,1
궁태,1
호불호,1
걱정,1
지도,1
제조,1
아빠,1
헤,1
일이,1
한식당,1
코스,1
조화,1
훌륭,1
뿐,1
양식,1
튀김,1
듬,1
고추,1
집사람,1
청결하다,1
티,1
계시다,1
여전하다,1
섭섭하다,1
피자,1
잡다,1
식당가,1
찿,1
꼬들꼬들,1
본인,1
스타일,1
겁니다,1
상추,1
설명,1
짱,1
찌,1
유라,1
샹,1
신세계,1
울,1
색소,1
낫다,1
초,1
몸,1
뮤,1
후회,1
과일,1
끊다,1
밥찬,1
하나로,1
다행,1
삼채,1
알,1
드심,1
국내,1
절대,1
불가,1
최상급,1
파서,1
습,1
모든,1
식단,1
필요없다,1
잔소리,1
착하다,1
영양가,1
풍부,1
삿었는데,1
개다,1
부담스럽다,1
순하다,1
부족하다,1
도리,1
식사,1
만큼,1
방부제,1
국산,1
막,1
소개,1
청꼬썰,1
직장,1
동료,1
만족도,1
최상,1
어떻다,1
강추,1
쌀,1
또또,1
매우,1
얘기,1
뚝딱,1
끼,1
키,1
불다,1
반도,1
안남다,1
용량,1
땡초,1
집어넣다,1
저녁식사,1
낯,1
설다,1
영양,1
보,1
깔다,1
끄다,1
만족,1
특이하다,1
조르다,1
단맛,1
적당,1
이나,1
다완,1
해달라다,1
요긴,1
알아보다,1
어쩌,1
좀덜,1
안녕하다,1
중이,1
미국,1
국방,1
거리,1
오래되다,1
묵다,1
여기다,1
전혀,1
한정식,1
폭풍,1
매도,1
싱싱하다,1
목,1
궁채특유,1
단단하다,1
별미,1
못,1
대요,1
갓,1
도보,1
집도,1
간만,1
끓이다,1
나이,1
충분하다,1
칭찬,1
집안,1
좋앙,1
인기,1
좀맛,1
머듬,1
갠,1
덜새콤햇음,1
꾸준하다,1
손,1
며칠,1
뒤,1
우러나,1
얼음,1
여름,1
녹다,1
터지다,1
안이,1
밀봉,1
주심,1
찜찜하다,1
테,1
짜내다,1
낚였네,1
인생,1
짠맛,1
식품,1
체적,1
꼬들하,1
어리다,1
거치다,1
심지,1
몇몇,1
거북하다,1
밥맛,1
간의,1
지나다,1
꾀,1
남아,1
누룽지,1
달이다,1
는걸,1
대용,1
대기,1
발견,1
대박나다,1
꼬득꼬득,1
큰일,1
보이다,1
당일,1
