,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
395,고깃집에서 먹어보고 맛있어서 시켜봤어요 식감이 좋네요,5,2023.11.12.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
396,진짜맛있어요 깔끔합니다굿굿,5,2023.11.11.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
397,배송도빠르고  가격도  저렴해서 매번구입합니다  감사합니다,5,2023.11.11.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
398,배송도빠르고  가격도  저렴해서 매번구입합니다  감사합니다,5,2023.11.11.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
399,"재구매예요
넘맛있어서 밥을 너무먹을꺼같은데
어쩌죠.....",5,2023.11.10.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
400,맛있습니다. 재구매할 의사 있습니다.,5,2023.11.10.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
401,맛있는데 좀덜짜며 밥도둑이 될듯하네요,5,2023.11.10.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
402,궁채 식감 그대로 장아찌로 먹으니 맛있어요.,5,2023.11.10.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
403,"안녕하세요.
맛있어서 재구매했어요~
감사합니다.",5,2023.11.10.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
404,"종류별로 다 골고루 먹어보고 있는중이에요
한결같이 다 맛나요",5,2023.11.10.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
405,새콤달콤하고 맛있어요,5,2023.11.09.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
406,아삭하니 정말 맛있어요,4,2023.11.09.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
407,좋아요. 맛있어요.,5,2023.11.09.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
408,매번 주문합니다 미국친구가 한국방문해서 보내려합니다,5,2023.11.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
409,깔끔한  맛이네요~배송도 빠르고~,5,2023.11.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
410,"사진과 같습니다.
빠른 배송 감사합니다.",3,2023.11.08.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
411,하나도 안짜고 오독오독 거리고 너무 맛나요 ㅜㅠ 계속 재구매 할거 같아요 ㅠㅠ,5,2023.11.08.,구매자거주인원 2인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인,아주 넉넉해요,꼼꼼해요,맛있어요
